cid,text,time,author,channel,votes,replies,photo,heart,time_parsed,video_url
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAAFlsjGWPnA,Its called Noor! Its absolutely majestic.,1 year ago,@alaa-qi4un,UCSCCEWVR_eu6okihAbiLxdA,0,,https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s88-c-k-c0x00ffffff-no-rj,False,1740731160.113362,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAANoxm_obH1,"Islam teaches through the quran how to live a peaceful life. People no matter what colour, creed or belief should be treated respectful ly. Islam builds a direct connection with God, and good character and a peaceful way of life: it's core principle patience, mercy and knowledge...etc",1 year ago,@JamalAkhzam-e3b,UCMBGZefKEvZXuYo-ECvqd0A,0,,https://yt3.ggpht.com/ytc/AIdro_nbdc5AzjivOkOVFs1t3A1g2QWi7OLsMZHV2ihZTqZmqltNd7G5En2x7TJbw2Ac3mb2Bw=s88-c-k-c0x00ffffff-no-rj,False,1740731160.115069,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUACyoL7ykkwY,That is noor,1 year ago,@SultanYagami,UCEzjWhWsmzt1hSG3bdGS6kg,0,,https://yt3.ggpht.com/tfe7qYyVoIYfh6nSWhatv7vF1JZeX6UDSfjmyzUTnrvC-0x-ZcX7FFfZh3WyUdq3duI04RqiPQ=s88-c-k-c0x00ffffff-no-rj,False,1740731160.11668,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUACzSSo3t7HA,"It's just you,you can't see Noor in face",1 year ago,@AnabMoha-b1i,UC82C8E2t7ZHbKkfGjSBc41A,0,,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,False,1740731160.118255,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUADhPSLNMi5H,"In islam it's called ""noor""",1 year ago,@inluvwmaira,UCZvWLxSeeQ88eJwQzvn5C5A,0,,https://yt3.ggpht.com/7i63pQwUxTNKafOwsnBEtuytHp354L0TO5sEglABRtQ9WkiplYyPknIsvfDD-0JwEM0x2pCtig=s88-c-k-c0x00ffffff-no-rj,False,1740731160.119821,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAF_fMjjBtkj,"SubhanAllah, Imam Omer Sulaiman carried this interview, truly a real and proud representation of Islam and us Muslims. May God Almighty preserve him in this world and the hereafter. Ameen",11 months ago,@ibrahimshahid3391,UCzisZ5Jcen-kYISvH-R-dkg,0,,https://yt3.ggpht.com/ytc/AIdro_lQPwLK_Si8x3iikCbdBlKNK0TuT1SLUmcyj52KN6w=s88-c-k-c0x00ffffff-no-rj,False,1743150360.12213,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAIA-qLKWhAI,ماشآءالله تبارك الرحمن الله يحفظكم جميعاً يارب العالمين صباح الخير جمعة مباركة,9 months ago,@hondagamer79,UCR8UmA4XIYz9VYOdQsaKHTw,0,,https://yt3.ggpht.com/5Dw02H8kgImZ-h4vhc6SPzFpjH9p1ZZkxeGkbvKJvjaopsY7pvGx1Okm-1voEXxdoeVjPHKW=s88-c-k-c0x00ffffff-no-rj,False,1748420760.349927,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAPf9-wD0DaR,Cause he got good genes!!,3 months ago,@_sadaf_,UCIGBdYl9SrN3dB_bp0ZBO6A,0,,https://yt3.ggpht.com/ytc/AIdro_ntdTbhvxDiSK49ljM6m6qrykY8_SyYPSTzj32G6Pzshkw=s88-c-k-c0x00ffffff-no-rj,False,1764318360.352481,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUATZUD9gl_Yu,You are right.,5 days ago,@U-Hurairah,UCPqBh3_NTXvsXulHmGe0eTA,0,,https://yt3.ggpht.com/jpwH-2QeDC12K9OuC2njYYKDq_xc9ekluUAx72FhXqeyOa-lmNCAEWKZrL_QlrcCLbCXsAC0RPg=s88-c-k-c0x00ffffff-no-rj,False,1771835160.35415,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU98zH3Lvm7uD, Steffan Blanco  you triggered not me . 😅😅  it is hard for nonmuslims . nonmuslims are not right. Cause the last book and prophet are ours. So basicly it is the real religion . Thats why we are not triggered 😅. Seriously just think some thing for your future. 🤷‍♂️,5 years ago (edited),@TravellTURKEY,UCVcDIRUT2b6BN3Y4E2D7ejA,14,,https://yt3.ggpht.com/p748GRFLP7mfd1UAM-XAS0NC6SiQEggFs9aUtrM3G8gPwz3c_lII0T2W0u_kPVM2gjP2PTGV=s88-c-k-c0x00ffffff-no-rj,False,1614500760.355826,https://www.youtube.com/watch?v=INIG636SnU4
